t,c_hash,a_cool,a_cool_pct,a_cool_pct_should,a_free,a_free_list_pop_failed,a_free_pct,a_pp_avg_sub,a_pp_failed_picks,a_pp_failed_picks_cause_dbg,a_pp_pages_iterate_avg,a_pp_qlen_avg,a_pp_qlen_cnt,a_pp_sub_cnt,a_pp_subs,allocate_ops,async_mb_ws,consumed_pages,evicted_mib,find_parent_pct,inner_p,io_outstanding_50p,io_outstanding_99p9,io_outstanding_read,io_outstanding_write,iterate_children_pct,key,p1_ms,p1_pct,p2_ms,p2_pct,p3_ms,p3_pct,pc1,pc2,pc2_added,pc3,poll_pct,r_mib,rounds,space_usage_gib,submit_ms,submitted,sumit_calls,sumits_per_call,timestamp,touches,unswizzled,w_mib
0,3727503496349456617,0,0.0,0,965654,0,69.1,-,0,0,-nan,-nan,0,0,0,0,0,432447,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.6,-nan,0,0,0,2024-10-28 13:41:05:608,0,0,0.0
1,3727503496349456617,0,0.0,0,904269,0,64.7,-,0,0,-nan,-nan,0,0,0,0,0,493832,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.9,-nan,0,0,0,2024-10-28 13:41:06:608,0,0,0.0
2,3727503496349456617,0,0.0,0,845636,0,60.5,-,0,0,-nan,-nan,0,0,0,0,0,552466,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.1,-nan,0,0,0,2024-10-28 13:41:07:608,0,0,0.0
3,3727503496349456617,0,0.0,0,780933,0,55.9,-,0,0,-nan,-nan,0,0,0,0,0,617169,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.4,-nan,0,0,0,2024-10-28 13:41:08:608,0,0,0.0
4,3727503496349456617,0,0.0,0,716542,0,51.3,-,0,0,-nan,-nan,0,0,0,0,0,681559,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.6,-nan,0,0,0,2024-10-28 13:41:09:608,0,0,0.0
5,3727503496349456617,0,0.0,0,652425,0,46.7,-,0,0,-nan,-nan,0,0,0,0,0,745676,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.8,-nan,0,0,0,2024-10-28 13:41:10:608,0,0,0.0
6,3727503496349456617,0,0.0,0,588649,0,42.1,-,0,0,-nan,-nan,0,0,0,0,0,809455,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.1,-nan,0,0,0,2024-10-28 13:41:11:608,0,0,0.0
7,3727503496349456617,0,0.0,0,526431,0,37.7,-,0,0,-nan,-nan,0,0,0,0,0,871671,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.3,-nan,0,0,0,2024-10-28 13:41:12:608,0,0,0.0
8,3727503496349456617,0,0.0,0,462908,0,33.1,-,0,0,-nan,-nan,0,0,0,0,0,935198,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.6,-nan,0,0,0,2024-10-28 13:41:13:609,0,0,0.0
9,3727503496349456617,0,0.0,0,399447,0,28.6,-,0,0,-nan,-nan,0,0,0,0,0,998658,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.8,-nan,0,0,0,2024-10-28 13:41:14:609,0,0,0.0
10,3727503496349456617,0,0.0,0,336432,0,24.1,-,0,0,-nan,-nan,0,0,0,0,0,1061671,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,4.0,-nan,0,0,0,2024-10-28 13:41:15:609,0,0,0.0
0,3727503496349456617,0,0.0,0,965613,0,69.1,-,0,0,-nan,-nan,0,0,0,0,0,432488,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.6,-nan,0,0,0,2024-10-28 13:51:32:843,0,0,0.0
1,3727503496349456617,0,0.0,0,906266,0,64.8,-,0,0,-nan,-nan,0,0,0,0,0,491836,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.9,-nan,0,0,0,2024-10-28 13:51:33:843,0,0,0.0
2,3727503496349456617,0,0.0,0,846338,0,60.5,-,0,0,-nan,-nan,0,0,0,0,0,551764,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.1,-nan,0,0,0,2024-10-28 13:51:34:843,0,0,0.0
3,3727503496349456617,0,0.0,0,786691,0,56.3,-,0,0,-nan,-nan,0,0,0,0,0,611414,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.3,-nan,0,0,0,2024-10-28 13:51:35:843,0,0,0.0
4,3727503496349456617,0,0.0,0,727290,0,52.0,-,0,0,-nan,-nan,0,0,0,0,0,670813,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.6,-nan,0,0,0,2024-10-28 13:51:36:843,0,0,0.0
5,3727503496349456617,0,0.0,0,667659,0,47.8,-,0,0,-nan,-nan,0,0,0,0,0,730444,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.8,-nan,0,0,0,2024-10-28 13:51:37:843,0,0,0.0
6,3727503496349456617,0,0.0,0,607959,0,43.5,-,0,0,-nan,-nan,0,0,0,0,0,790143,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.0,-nan,0,0,0,2024-10-28 13:51:38:843,0,0,0.0
7,3727503496349456617,0,0.0,0,548770,0,39.3,-,0,0,-nan,-nan,0,0,0,0,0,849331,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.2,-nan,0,0,0,2024-10-28 13:51:39:843,0,0,0.0
0,14311238029598878693,0,0.0,0,961010,0,68.7,-,0,0,-nan,-nan,0,0,0,0,0,437091,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.7,-nan,0,0,0,2024-10-29 12:36:42:175,0,0,0.0
1,14311238029598878693,0,0.0,0,944403,0,67.5,-,0,0,-nan,-nan,0,0,0,0,0,453699,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.7,-nan,0,0,0,2024-10-29 12:36:43:174,0,0,0.0
2,14311238029598878693,0,0.0,0,927349,0,66.3,-,0,0,-nan,-nan,0,0,0,0,0,470752,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.8,-nan,0,0,0,2024-10-29 12:36:44:174,0,0,0.0
3,14311238029598878693,0,0.0,0,910188,0,65.1,-,0,0,-nan,-nan,0,0,0,0,0,487913,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.9,-nan,0,0,0,2024-10-29 12:36:45:174,0,0,0.0
4,14311238029598878693,0,0.0,0,893162,0,63.9,-,0,0,-nan,-nan,0,0,0,0,0,504939,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.9,-nan,0,0,0,2024-10-29 12:36:46:174,0,0,0.0
5,14311238029598878693,0,0.0,0,876125,0,62.7,-,0,0,-nan,-nan,0,0,0,0,0,521976,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.0,-nan,0,0,0,2024-10-29 12:36:47:174,0,0,0.0
6,14311238029598878693,0,0.0,0,859457,0,61.5,-,0,0,-nan,-nan,0,0,0,0,0,538645,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.1,-nan,0,0,0,2024-10-29 12:36:48:175,0,0,0.0
7,14311238029598878693,0,0.0,0,842148,0,60.2,-,0,0,-nan,-nan,0,0,0,0,0,555953,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.1,-nan,0,0,0,2024-10-29 12:36:49:175,0,0,0.0
8,14311238029598878693,0,0.0,0,824897,0,59.0,-,0,0,-nan,-nan,0,0,0,0,0,573206,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.2,-nan,0,0,0,2024-10-29 12:36:50:175,0,0,0.0
9,14311238029598878693,0,0.0,0,807564,0,57.8,-,0,0,-nan,-nan,0,0,0,0,0,590538,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.3,-nan,0,0,0,2024-10-29 12:36:51:175,0,0,0.0
10,14311238029598878693,0,0.0,0,790587,0,56.5,-,0,0,-nan,-nan,0,0,0,0,0,607514,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.3,-nan,0,0,0,2024-10-29 12:36:52:175,0,0,0.0
11,14311238029598878693,0,0.0,0,773547,0,55.3,-,0,0,-nan,-nan,0,0,0,0,0,624555,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.4,-nan,0,0,0,2024-10-29 12:36:53:175,0,0,0.0
12,14311238029598878693,0,0.0,0,757152,0,54.2,-,0,0,-nan,-nan,0,0,0,0,0,640949,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.4,-nan,0,0,0,2024-10-29 12:36:54:175,0,0,0.0
13,14311238029598878693,0,0.0,0,740252,0,52.9,-,0,0,-nan,-nan,0,0,0,0,0,657850,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.5,-nan,0,0,0,2024-10-29 12:36:55:175,0,0,0.0
14,14311238029598878693,0,0.0,0,723292,0,51.7,-,0,0,-nan,-nan,0,0,0,0,0,674810,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.6,-nan,0,0,0,2024-10-29 12:36:56:175,0,0,0.0
15,14311238029598878693,0,0.0,0,706364,0,50.5,-,0,0,-nan,-nan,0,0,0,0,0,691737,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.6,-nan,0,0,0,2024-10-29 12:36:57:175,0,0,0.0
16,14311238029598878693,0,0.0,0,689374,0,49.3,-,0,0,-nan,-nan,0,0,0,0,0,708728,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.7,-nan,0,0,0,2024-10-29 12:36:58:175,0,0,0.0
17,14311238029598878693,0,0.0,0,672500,0,48.1,-,0,0,-nan,-nan,0,0,0,0,0,725601,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.8,-nan,0,0,0,2024-10-29 12:36:59:176,0,0,0.0
18,14311238029598878693,0,0.0,0,655885,0,46.9,-,0,0,-nan,-nan,0,0,0,0,0,742217,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.8,-nan,0,0,0,2024-10-29 12:37:00:176,0,0,0.0
19,14311238029598878693,0,0.0,0,640161,0,45.8,-,0,0,-nan,-nan,0,0,0,0,0,757940,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.9,-nan,0,0,0,2024-10-29 12:37:01:176,0,0,0.0
20,14311238029598878693,0,0.0,0,623639,0,44.6,-,0,0,-nan,-nan,0,0,0,0,0,774462,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.0,-nan,0,0,0,2024-10-29 12:37:02:176,0,0,0.0
21,14311238029598878693,0,0.0,0,607282,0,43.4,-,0,0,-nan,-nan,0,0,0,0,0,790819,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.0,-nan,0,0,0,2024-10-29 12:37:03:176,0,0,0.0
22,14311238029598878693,0,0.0,0,590860,0,42.3,-,0,0,-nan,-nan,0,0,0,0,0,807241,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.1,-nan,0,0,0,2024-10-29 12:37:04:176,0,0,0.0
23,14311238029598878693,0,0.0,0,574108,0,41.1,-,0,0,-nan,-nan,0,0,0,0,0,823994,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.1,-nan,0,0,0,2024-10-29 12:37:05:176,0,0,0.0
24,14311238029598878693,0,0.0,0,557465,0,39.9,-,0,0,-nan,-nan,0,0,0,0,0,840638,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.2,-nan,0,0,0,2024-10-29 12:37:06:176,0,0,0.0
25,14311238029598878693,0,0.0,0,540700,0,38.7,-,0,0,-nan,-nan,0,0,0,0,0,857402,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.3,-nan,0,0,0,2024-10-29 12:37:07:176,0,0,0.0
26,14311238029598878693,0,0.0,0,523862,0,37.5,-,0,0,-nan,-nan,0,0,0,0,0,874239,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.3,-nan,0,0,0,2024-10-29 12:37:08:176,0,0,0.0
27,14311238029598878693,0,0.0,0,507245,0,36.3,-,0,0,-nan,-nan,0,0,0,0,0,890856,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.4,-nan,0,0,0,2024-10-29 12:37:09:176,0,0,0.0
28,14311238029598878693,0,0.0,0,490493,0,35.1,-,0,0,-nan,-nan,0,0,0,0,0,907609,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.5,-nan,0,0,0,2024-10-29 12:37:10:177,0,0,0.0
29,14311238029598878693,0,0.0,0,473608,0,33.9,-,0,0,-nan,-nan,0,0,0,0,0,924494,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.5,-nan,0,0,0,2024-10-29 12:37:11:177,0,0,0.0
30,14311238029598878693,0,0.0,0,456583,0,32.7,-,0,0,-nan,-nan,0,0,0,0,0,941518,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.6,-nan,0,0,0,2024-10-29 12:37:12:177,0,0,0.0
31,14311238029598878693,0,0.0,0,440196,0,31.5,-,0,0,-nan,-nan,0,0,0,0,0,957905,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.7,-nan,0,0,0,2024-10-29 12:37:13:177,0,0,0.0
32,14311238029598878693,0,0.0,0,423546,0,30.3,-,0,0,-nan,-nan,0,0,0,0,0,974555,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.7,-nan,0,0,0,2024-10-29 12:37:14:177,0,0,0.0
33,14311238029598878693,0,0.0,0,406593,0,29.1,-,0,0,-nan,-nan,0,0,0,0,0,991510,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.8,-nan,0,0,0,2024-10-29 12:37:15:177,0,0,0.0
34,14311238029598878693,0,0.0,0,389913,0,27.9,-,0,0,-nan,-nan,0,0,0,0,0,1008188,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,3.8,-nan,0,0,0,2024-10-29 12:37:16:177,0,0,0.0
0,14311238029598878693,0,0.0,0,961017,0,68.7,-,0,0,-nan,-nan,0,0,0,0,0,437084,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.7,-nan,0,0,0,2024-10-29 12:38:14:609,0,0,0.0
1,14311238029598878693,0,0.0,0,944682,0,67.6,-,0,0,-nan,-nan,0,0,0,0,0,453419,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.7,-nan,0,0,0,2024-10-29 12:38:15:609,0,0,0.0
2,14311238029598878693,0,0.0,0,927784,0,66.4,-,0,0,-nan,-nan,0,0,0,0,0,470317,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.8,-nan,0,0,0,2024-10-29 12:38:16:609,0,0,0.0
3,14311238029598878693,0,0.0,0,910438,0,65.1,-,0,0,-nan,-nan,0,0,0,0,0,487663,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.9,-nan,0,0,0,2024-10-29 12:38:17:609,0,0,0.0
4,14311238029598878693,0,0.0,0,893328,0,63.9,-,0,0,-nan,-nan,0,0,0,0,0,504774,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.9,-nan,0,0,0,2024-10-29 12:38:18:609,0,0,0.0
5,14311238029598878693,0,0.0,0,876350,0,62.7,-,0,0,-nan,-nan,0,0,0,0,0,521751,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.0,-nan,0,0,0,2024-10-29 12:38:19:610,0,0,0.0
6,14311238029598878693,0,0.0,0,859168,0,61.5,-,0,0,-nan,-nan,0,0,0,0,0,538933,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.1,-nan,0,0,0,2024-10-29 12:38:20:610,0,0,0.0
7,14311238029598878693,0,0.0,0,841949,0,60.2,-,0,0,-nan,-nan,0,0,0,0,0,556152,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.1,-nan,0,0,0,2024-10-29 12:38:21:610,0,0,0.0
8,14311238029598878693,0,0.0,0,824955,0,59.0,-,0,0,-nan,-nan,0,0,0,0,0,573146,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.2,-nan,0,0,0,2024-10-29 12:38:22:610,0,0,0.0
9,14311238029598878693,0,0.0,0,808224,0,57.8,-,0,0,-nan,-nan,0,0,0,0,0,589877,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.3,-nan,0,0,0,2024-10-29 12:38:23:610,0,0,0.0
10,14311238029598878693,0,0.0,0,791307,0,56.6,-,0,0,-nan,-nan,0,0,0,0,0,606795,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.3,-nan,0,0,0,2024-10-29 12:38:24:610,0,0,0.0
11,14311238029598878693,0,0.0,0,774365,0,55.4,-,0,0,-nan,-nan,0,0,0,0,0,623737,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.4,-nan,0,0,0,2024-10-29 12:38:25:610,0,0,0.0
12,14311238029598878693,0,0.0,0,757697,0,54.2,-,0,0,-nan,-nan,0,0,0,0,0,640404,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.4,-nan,0,0,0,2024-10-29 12:38:26:610,0,0,0.0
13,14311238029598878693,0,0.0,0,740920,0,53.0,-,0,0,-nan,-nan,0,0,0,0,0,657181,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.5,-nan,0,0,0,2024-10-29 12:38:27:610,0,0,0.0
14,14311238029598878693,0,0.0,0,724209,0,51.8,-,0,0,-nan,-nan,0,0,0,0,0,673893,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.6,-nan,0,0,0,2024-10-29 12:38:28:610,0,0,0.0
15,14311238029598878693,0,0.0,0,707453,0,50.6,-,0,0,-nan,-nan,0,0,0,0,0,690648,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.6,-nan,0,0,0,2024-10-29 12:38:29:610,0,0,0.0
16,14311238029598878693,0,0.0,0,690630,0,49.4,-,0,0,-nan,-nan,0,0,0,0,0,707471,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.7,-nan,0,0,0,2024-10-29 12:38:30:610,0,0,0.0
17,14311238029598878693,0,0.0,0,673966,0,48.2,-,0,0,-nan,-nan,0,0,0,0,0,724135,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.8,-nan,0,0,0,2024-10-29 12:38:31:611,0,0,0.0
18,14311238029598878693,0,0.0,0,657209,0,47.0,-,0,0,-nan,-nan,0,0,0,0,0,740893,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.8,-nan,0,0,0,2024-10-29 12:38:32:611,0,0,0.0
19,14311238029598878693,0,0.0,0,640948,0,45.8,-,0,0,-nan,-nan,0,0,0,0,0,757153,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.9,-nan,0,0,0,2024-10-29 12:38:33:611,0,0,0.0
0,14311238029598878693,0,0.0,0,961011,0,68.7,-,0,0,-nan,-nan,0,0,0,0,0,437090,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.7,-nan,0,0,0,2024-10-29 12:39:42:561,0,0,0.0
1,14311238029598878693,0,0.0,0,945189,0,67.6,-,0,0,-nan,-nan,0,0,0,0,0,452912,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.7,-nan,0,0,0,2024-10-29 12:39:43:559,0,0,0.0
2,14311238029598878693,0,0.0,0,928849,0,66.4,-,0,0,-nan,-nan,0,0,0,0,0,469252,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.8,-nan,0,0,0,2024-10-29 12:39:44:559,0,0,0.0
3,14311238029598878693,0,0.0,0,912075,0,65.2,-,0,0,-nan,-nan,0,0,0,0,0,486026,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.9,-nan,0,0,0,2024-10-29 12:39:45:559,0,0,0.0
4,14311238029598878693,0,0.0,0,895426,0,64.0,-,0,0,-nan,-nan,0,0,0,0,0,502675,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,1.9,-nan,0,0,0,2024-10-29 12:39:46:559,0,0,0.0
5,14311238029598878693,0,0.0,0,878804,0,62.9,-,0,0,-nan,-nan,0,0,0,0,0,519297,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.0,-nan,0,0,0,2024-10-29 12:39:47:559,0,0,0.0
6,14311238029598878693,0,0.0,0,861974,0,61.7,-,0,0,-nan,-nan,0,0,0,0,0,536128,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.0,-nan,0,0,0,2024-10-29 12:39:48:560,0,0,0.0
7,14311238029598878693,0,0.0,0,845668,0,60.5,-,0,0,-nan,-nan,0,0,0,0,0,552433,0.0,-nan,0,0,0,0,0,-nan,0,0,-nan,0,-nan,0,-nan,0,0,0,0,-nan,0.0,0,2.1,-nan,0,0,0,2024-10-29 12:39:49:560,0,0,0.0
